,name,required_age,is_free,currency,final,total_reviews,review_score
1185270,经典扫雷,0,False,EUR,0.79,1,0
1185280,The Innkeeper,0,False,EUR,2.39,3,0
1184450,Magic of Autumn,0,False,EUR,2.39,18,7
1184470,ASTROPUPPA,18,False,EUR,1.59,1,0
1184500,YUKI,0,False,EUR,19.99,17,7
1184550,TERMINAL VR,0,False,EUR,12.49,13,5
1184570,Last Neighbor,0,False,EUR,2.39,5,0
1184700,Whispered Secrets: Dreadful Beauty Collector's Edition,0,False,EUR,8.19,1,0
1184720,Later,0,False,EUR,5.69,1,0
1184770,The Political Process,0,False,EUR,12.49,980,9
1184780,BOTS,0,False,EUR,0.79,3,0
1184820,Poker Quest,0,False,EUR,12.49,100,8
1184840,Chaos Galaxy,0,False,EUR,12.49,73,8
1184880,Puzzle Girls,0,False,EUR,1.59,5,0
1184890,Fleeting Iris,0,False,EUR,16.79,18,6
1184900,Unitied,0,False,EUR,0.39,19,7
1184040,D1896,0,False,EUR,3.99,8,0
1184050,Gears Tactics,18,False,EUR,39.99,2028,8
1184070,Overrun,0,False,EUR,2.39,1,0
1184090,Belly Dance Girl,0,False,EUR,1.59,8,0
1184160,RUSSIAPHOBIA,0,False,EUR,0.79,528,6
1184190,Knockout Bowling VR,0,False,EUR,3.29,1,0
1184230,Cross Border VR,0,False,EUR,3.99,3,0
1184260,Warchasm,0,False,EUR,12.49,2,0
1184310,Slippery Sausage,0,False,EUR,0.79,2,0
1184400,Succubus Waifu,0,False,EUR,6.59,28,5
1184420,天降锦鲤 ~ My Lucky Koi,0,False,EUR,3.99,2,0
1183470,Imperiums: Greek Wars,0,False,EUR,29.9,83,8
1183480,Bonsai Castles,0,False,EUR,12.49,3,0
1183500,Puppy Cross,0,False,EUR,9.99,34,7
1183510,Little Town Hero,0,False,EUR,24.99,7,0
1183580,Terra Alia: The Language Learning RPG,0,False,EUR,8.49,10,7
1183670,Angry Zombies,0,False,EUR,0.79,8,0
1183720,Holoswitch,0,False,EUR,8.99,84,8
1183840,Dungeon of Rikka,0,False,EUR,3.99,11,7
1183030,Layers of Fear VR,16,False,EUR,19.99,82,6
1183080,MMA President,0,False,EUR,11.59,13,5
1183140,Planet Lander,0,False,EUR,0.79,4,0
1183170,All World Pro Wrestling,0,False,EUR,4.99,13,7
1183200,Portal Dogs,0,False,EUR,3.29,2,0
1183210,Through The Unknown,0,False,EUR,9.99,2,0
1183230,A Pirate's Pleasure,0,False,EUR,4.99,6,0
1183240,Image Compressor,0,False,EUR,1.43,7,0
1183260,TrymenT ―Ima o Kaetai to Negau Anata e― AlphA,0,False,EUR,24.99,7,0
1183280,Jazz Age,0,False,EUR,3.29,5,0
1183300,Dawnfall,0,False,EUR,3.99,7,0
1183410,you are pig sitter,0,False,EUR,3.29,1,0
1183420,Monochrome World,0,False,EUR,8.19,1,0
1182670,Haunted Hotel: Room 18 Collector's Edition,0,False,EUR,8.19,8,0
1182690,A Dark World: The Glowing City,0,False,EUR,12.49,1,0
1182720,GO-4-Soldier-1,0,False,EUR,2.39,2,0
1182760,Starlight,0,False,EUR,0.79,30,5
1182770,Caves and Castles: Underworld,0,False,EUR,5.69,3,0
1182830,QT,0,False,EUR,8.19,105,8
1182890,Dunmakia Kingdom,0,False,EUR,13.49,1,0
1182920,Movavi Video Editor Plus 2020 - Video Editing Software,0,False,EUR,39.95,209,8
1182970,VR Katherine,0,False,EUR,8.19,17,5
1182280,Foodtruck Arena,0,False,EUR,8.19,1,0
1182470,reky,0,False,EUR,5.99,20,7
1181790,Circle of Sumo: Online Rumble!,0,True,,,3,0
1181820,Colossal Saga,0,False,EUR,13.3,1,0
1181840,HIVESWAP: ACT 2,0,False,EUR,12.49,606,8
1181880,Draconic Echoes: The Ardent War,0,False,EUR,3.99,1,0
1181910,Halloween Chronicles: Evil Behind a Mask Collector's Edition,0,False,EUR,8.19,5,0
1182020,WGT Golf,0,True,,,4,0
1182090,Mr. Pumpkin 2: Kowloon walled city,0,False,EUR,4.99,9,0
1182110,Weed Shop 3,0,False,EUR,16.79,297,8
1182200,Hidden World of Art 2,0,False,EUR,1.99,7,0
1181330,D3D INSIDE,0,False,EUR,3.99,7,0
1181400,Path of Giants,0,False,EUR,7.39,93,8
1181440,ToGather:Island,0,False,EUR,12.49,39,7
1181470,My Haunted Doll,0,False,EUR,0.79,5,0
1181510,OS Omega,0,False,EUR,12.49,1,0
1181520,Null & Peta -Invasion of the Queen Bug-,0,False,EUR,16.79,16,7
1181570,Feria d'Arles,0,False,EUR,3.29,38,7
1181600,Jetboard Joust,0,False,EUR,8.19,17,7
1181750,THE VR CANYON,0,False,EUR,7.39,2,0
1180820,Escape!,0,False,EUR,0.79,1,0
1180900,Winter War,0,False,EUR,17.99,19,7
1180940,Spellinkers,0,False,EUR,0.79,3,0
1180960,Arktrum,0,False,EUR,6.59,1,0
1180970,Phantom Path,0,False,EUR,14.99,8,0
1181000,UBERMOSH:OMEGA,0,False,EUR,3.9,67,8
1181020,Squillamorph,0,False,EUR,10.79,3,0
1181030,Forest Guardian,0,False,EUR,8.99,23,7
1181070,BOX,0,False,EUR,3.99,1,0
1181120,Picture toys,0,False,EUR,1.59,6,0
1181130,Play with NEKO,0,False,EUR,1.59,14,6
1181220,aMAZE Gears 2,0,False,EUR,1.59,5,0
1181270,God of Gym,0,False,EUR,0.79,9,0
1181280,EBONY,0,False,EUR,7.39,4,0
1181290,Aria Dating Simulator,0,False,EUR,0.79,3,0
1180370,Wienne,0,True,,,2,0
1180420,Windmill Kings,0,False,EUR,3.99,4,0
1180450,Exitium,0,False,EUR,6.59,3,0
1180540,Puddle Knights,0,False,EUR,8.19,60,8
1180550,Little Witch  Luana,0,False,EUR,2.39,2,0
1180560,Abelana's Atom Maker,0,False,EUR,8.19,2,0
1180610,Npc Problems: Vertex Coloring,0,False,EUR,0.79,11,7
1180620,Bullet Beat: Musical Shoot'em up,0,False,EUR,3.99,8,0
1180650,Bakemono - Demon Brigade Tenmen Unit 01,0,False,EUR,16.79,7,0
1180690,Spaceman,0,False,EUR,0.79,3,0
1180700,Shooting Star,0,False,EUR,0.79,2,0
1179880,Maverick,0,False,EUR,5.69,1,0
1180000,I Will Be Your Eyes,0,False,EUR,3.29,1,0
1180070,Bangers & Mash,0,False,EUR,3.99,1,0
1180110,DeadShotZ,0,False,USD,1.99,11,7
1180190,Call of VII,0,False,EUR,0.79,3,0
1180250,DIVINATION,0,False,EUR,1.59,50,8
1180270,Forbidden Love With The Ghost Girl,0,False,EUR,12.49,18,7
1180330,Manor of Mystic Courtesans,0,False,EUR,12.49,49,6
1179540,Sweet Thomas,0,False,EUR,8.99,4,0
1179560,Gachi Heroes 2: Flexboll,0,False,EUR,0.79,36,7
1179570,Jazz Lightning : Castle Dungeons,0,False,EUR,2.39,3,0
1179620,Journey of the Broken Circle,0,False,EUR,8.0,9,0
1179790,Heroes Of Maidan 3: Crimean Battle,0,False,EUR,2.39,1,0
1179840,Origin,0,False,,,1,0
1179170,Super Angling,0,False,EUR,2.39,1,0
1179190,Dinodrifters,0,False,EUR,8.99,1,0
1179210,Kill It With Fire,0,False,EUR,12.49,794,9
1179300,Quicken WillMaker & Trust 2020,0,False,EUR,75.99,2,0
1179340,Kōmori Fruit Rush,0,False,EUR,3.99,1,0
1179390,Victorian Admirals Caroline Crisis 1885,0,False,EUR,1.63,2,0
1179410,Lootcraft,0,False,EUR,6.59,8,0
1179420,Brunswick Pro Billiards,0,False,EUR,16.79,6,0
1179460,HAM-MASTER,0,False,EUR,1.59,10,7
1179500,Star Gods,0,False,EUR,1.59,2,0
1178880,Panzer Dragoon: Remake,0,False,EUR,20.99,191,8
1179060,Wing of Darkness,0,False,EUR,29.99,10,5
1178380,Resurrector,0,False,EUR,0.79,3,0
1178400,Pro Cycling Manager 2020,0,False,EUR,39.99,96,6
1178430,Summer Games Heroes,0,True,,,1,0
1178460,Desktop Portal,0,False,,,42,7
